image,src,box_idx,class,area_frac,iou_or_conf,flag
---2022-06-05---2-38-56_png.rf.4f522c138dd37f9d951c8abbf5d181ff.jpg,gt,0,WV,0.37723,0.947,edge
---2022-06-05---2-38-56_png.rf.4f522c138dd37f9d951c8abbf5d181ff.jpg,gt,1,WV,0.32417,0.868,edge
---2022-06-05---2-38-56_png.rf.b21f7452765a4b0858a7c66c0de86427.jpg,gt,0,WV,0.37723,0.915,edge
---2022-06-05---2-38-56_png.rf.b21f7452765a4b0858a7c66c0de86427.jpg,gt,1,WV,0.32417,0.869,edge
---2022-06-05---2-38-56_png.rf.ca4e3d63bdcca0aaa05ee612daec068a.jpg,gt,0,WV,0.37723,0.928,edge
---2022-06-05---2-38-56_png.rf.ca4e3d63bdcca0aaa05ee612daec068a.jpg,gt,1,WV,0.32417,0.812,edge
image_from_china-1-_jpg.rf.7d518e8841e4b526390f8cf07bedb678.jpg,gt,0,WH,0.0006,0.0,tiny
image_from_china-1-_jpg.rf.7d518e8841e4b526390f8cf07bedb678.jpg,gt,0,WH,0.0006,0.0,no_model_support
image_from_china-1-_jpg.rf.7d518e8841e4b526390f8cf07bedb678.jpg,gt,1,WH,0.00085,0.0,tiny
image_from_china-1-_jpg.rf.7d518e8841e4b526390f8cf07bedb678.jpg,gt,1,WH,0.00085,0.0,no_model_support
image_from_china-1-_jpg.rf.7d518e8841e4b526390f8cf07bedb678.jpg,gt,2,W,0.00646,0.716,aspect
image_from_china-1-_jpg.rf.7d518e8841e4b526390f8cf07bedb678.jpg,gt,2,W,0.00646,0.716,"class_disagree(gt=W,pred=WH)"
image_from_china-1-_jpg.rf.7d518e8841e4b526390f8cf07bedb678.jpg,pred,-1,WH,,0.705,unlabeled_pred
image_from_china-1-_jpg.rf.9ad76056fd11758b52bd4430123b9900.jpg,gt,0,WH,0.0006,0.583,tiny
image_from_china-1-_jpg.rf.9ad76056fd11758b52bd4430123b9900.jpg,gt,1,WH,0.00085,0.389,tiny
image_from_china-1-_jpg.rf.9ad76056fd11758b52bd4430123b9900.jpg,gt,2,W,0.00646,0.652,aspect
image_from_china-1-_jpg.rf.9ad76056fd11758b52bd4430123b9900.jpg,gt,2,W,0.00646,0.652,"class_disagree(gt=W,pred=WH)"
image_from_china-1-_jpg.rf.f2581618b578bed8c52e90eb88e742c8.jpg,gt,0,WH,0.0006,0.0,tiny
image_from_china-1-_jpg.rf.f2581618b578bed8c52e90eb88e742c8.jpg,gt,0,WH,0.0006,0.0,no_model_support
image_from_china-1-_jpg.rf.f2581618b578bed8c52e90eb88e742c8.jpg,gt,1,WH,0.00085,0.0,tiny
image_from_china-1-_jpg.rf.f2581618b578bed8c52e90eb88e742c8.jpg,gt,1,WH,0.00085,0.0,no_model_support
image_from_china-1-_jpg.rf.f2581618b578bed8c52e90eb88e742c8.jpg,gt,2,W,0.00646,0.695,aspect
image_from_china-1007-_jpg.rf.6ab635a098794d318c2c539bcb9012df.jpg,gt,0,WH,0.04133,0.727,edge
image_from_china-1007-_jpg.rf.6ab635a098794d318c2c539bcb9012df.jpg,gt,2,WH,0.1105,0.74,edge
image_from_china-1007-_jpg.rf.e7eccc636bcd1cab0bd91221d9e38d9a.jpg,gt,0,WH,0.04133,0.707,edge
image_from_china-1007-_jpg.rf.e7eccc636bcd1cab0bd91221d9e38d9a.jpg,gt,2,WH,0.1105,0.754,edge
image_from_china-1007-_jpg.rf.f42d85953e5c9bbb59b95d4155830a3a.jpg,gt,0,WH,0.04133,0.731,edge
image_from_china-1007-_jpg.rf.f42d85953e5c9bbb59b95d4155830a3a.jpg,gt,2,WH,0.1105,0.588,edge
image_from_china-1016-_jpg.rf.ec86f1f8e8eae6d72bc06f9f92e0e363.jpg,gt,0,WH,0.00018,0.0,tiny
image_from_china-1016-_jpg.rf.ec86f1f8e8eae6d72bc06f9f92e0e363.jpg,gt,0,WH,0.00018,0.0,no_model_support
image_from_china-1016-_jpg.rf.ec86f1f8e8eae6d72bc06f9f92e0e363.jpg,gt,1,WH,0.00015,0.0,tiny
image_from_china-1016-_jpg.rf.ec86f1f8e8eae6d72bc06f9f92e0e363.jpg,gt,1,WH,0.00015,0.0,aspect
image_from_china-1016-_jpg.rf.ec86f1f8e8eae6d72bc06f9f92e0e363.jpg,gt,1,WH,0.00015,0.0,no_model_support
image_from_china-1016-_jpg.rf.ec86f1f8e8eae6d72bc06f9f92e0e363.jpg,gt,2,WH,0.00075,0.0,tiny
image_from_china-1016-_jpg.rf.ec86f1f8e8eae6d72bc06f9f92e0e363.jpg,gt,2,WH,0.00075,0.0,no_model_support
